date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
10-05-2019,2891,2650,2168,1686,1204
14-05-2019,2934,2689,2200,1711,1222
16-05-2019,2904,2662,2178,1694,1210
20-05-2019,2869,2630,2152,1673,1195
22-05-2019,2854,2616,2140,1665,1189
24-05-2019,2866,2627,2150,1672,1194
28-05-2019,2866,2628,2150,1672,1194
30-05-2019,2893,2652,2170,1687,1205
04-06-2019,2954,2708,2215,1723,1231
06-06-2019,2965,2718,2223,1729,1235
10-06-2019,2972,2724,2229,1734,1238
12-06-2019,2981,2732,2235,1739,1242
14-06-2019,3014,2763,2261,1758,1256
18-06-2019,3006,2755,2254,1753,1252
20-06-2019,3109,2850,2332,1814,1296
24-06-2019,3174,2910,2381,1852,1323
26-06-2019,3141,2879,2356,1832,1309
28-06-2019,3125,2865,2344,1823,1302
02-07-2019,3170,2906,2378,1849,1321
04-07-2019,3135,2874,2351,1829,1306
08-07-2019,3077,2821,2308,1795,1282
10-07-2019,3126,2866,2345,1824,1303
12-07-2019,3120,2860,2340,1820,1300
16-07-2019,3103,2844,2327,1810,1293
18-07-2019,3195,2928,2396,1864,1331
22-07-2019,3155,2892,2367,1841,1315
24-07-2019,3162,2898,2371,1844,1317
26-07-2019,3140,2878,2355,1832,1308
30-07-2019,3167,2903,2375,1847,1320
02-08-2019,3227,2958,2420,1882,1345
